PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
11101,,,,,"1,189",,477,,,40.1,,23,,6,,,0,,,15,,,0,,,1,,,0,,,,,3,,,,,,
11102,,,,,"1,090",,459,,,42.1,,14,,6,,,1,,,8,,,0,,,5,,,2,,,,,0,,,,,,
11103,,,,,"1,467",,536,,,36.5,,16,,8,,,0,,,27,,,0,,,9,,,1,,,,,0,,,,,,
11105,,,,,"1,501",,582,,,38.8,,14,,1,,,0,,,18,,,0,,,12,,,1,,,,,0,,,,,,
11107,,,,,"1,222",,501,,,41.0,,10,,10,,,1,,,20,,,1,,,9,,,0,,,,,0,,,,,,
11108,,,,,"1,294",,440,,,34.0,,22,,7,,,0,,,20,,,1,,,2,,,1,,,,,0,,,,,,
11109,,,,,853,,339,,,39.7,,11,,2,,,0,,,13,,,0,,,0,,,5,,,,,0,,,,,,
11111,,,,,738,,353,,,47.8,,11,,0,,,0,,,14,,,2,,,1,,,1,,,,,0,,,,,,
11112,,,,,"1,299",,439,,,33.8,,32,,5,,,0,,,19,,,1,,,0,,,2,,,,,0,,,,,,
11114,,,,,"1,459",,779,,,53.4,,67,,1,,,1,,,71,,,2,,,4,,,2,,,,,1,,,,,,
11115,,,,,"1,157",,477,,,41.2,,22,,6,,,0,,,25,,,0,,,6,,,2,,,,,1,,,,,,
11117,,,,,"1,211",,400,,,33.0,,4,,1,,,0,,,31,,,0,,,3,,,0,,,,,0,,,,,,
11118,,,,,"1,033",,466,,,45.1,,24,,0,,,0,,,18,,,0,,,6,,,0,,,,,0,,,,,,
11120,,,,,"1,085",,443,,,40.8,,17,,2,,,1,,,22,,,0,,,4,,,0,,,,,0,,,,,,
11124,,,,,188,,92,,,48.9,,2,,0,,,0,,,6,,,0,,,0,,,0,,,,,0,,,,,,
11127,,,,,870,,365,,,42.0,,22,,3,,,1,,,14,,,0,,,1,,,0,,,,,1,,,,,,
11130,,,,,215,,90,,,41.9,,3,,0,,,0,,,10,,,0,,,0,,,0,,,,,0,,,,,,
11137,,,,,984,,462,,,47.0,,11,,1,,,1,,,27,,,0,,,0,,,0,,,,,0,,,,,,
11142,,,,,"1,309",,621,,,47.4,,22,,0,,,0,,,40,,,0,,,1,,,0,,,,,1,,,,,,
11149,,,,,561,,339,,,60.4,,22,,0,,,0,,,35,,,0,,,1,,,1,,,,,1,,,,,,
11151,,,,,"1,279",,639,,,50.0,,23,,2,,,1,,,55,,,1,,,7,,,0,,,,,0,,,,,,
11166,,,,,931,,404,,,43.4,,6,,2,,,0,,,27,,,0,,,1,,,1,,,,,0,,,,,,
11201,,,,,591,,309,,,52.3,,93,,0,,,0,,,24,,,0,,,1,,,1,,,,,0,,,,,,
11202,,,,,911,,521,,,57.2,,13,,1,,,0,,,57,,,0,,,3,,,1,,,,,0,,,,,,
11203,,,,,557,,405,,,72.7,,17,,0,,,0,,,24,,,0,,,1,,,0,,,,,0,,,,,,
11205,,,,,190,,129,,,67.9,,20,,0,,,0,,,17,,,0,,,0,,,1,,,,,0,,,,,,
11206,,,,,477,,338,,,70.9,,33,,1,,,1,,,31,,,0,,,4,,,0,,,,,0,,,,,,
11208,,,,,978,,440,,,45.0,,8,,2,,,0,,,33,,,0,,,2,,,0,,,,,0,,,,,,
11209,,,,,715,,464,,,64.9,,25,,0,,,0,,,48,,,0,,,3,,,1,,,,,1,,,,,,
11211,,,,,850,,357,,,42.0,,16,,1,,,0,,,30,,,0,,,3,,,0,,,,,0,,,,,,
11212,,,,,338,,153,,,45.3,,9,,1,,,0,,,4,,,0,,,5,,,0,,,,,0,,,,,,
11214,,,,,"1,369",,464,,,33.9,,17,,2,,,1,,,19,,,1,,,8,,,1,,,,,1,,,,,,
11215,,,,,"1,518",,611,,,40.3,,36,,0,,,0,,,32,,,3,,,6,,,1,,,,,1,,,,,,
11217,,,,,"1,023",,770,,,75.3,,42,,3,,,0,,,119,,,0,,,3,,,0,,,,,0,,,,,,
11218,,,,,"1,152",,502,,,43.6,,12,,1,,,3,,,16,,,0,,,15,,,0,,,,,0,,,,,,
11219,,,,,538,,430,,,79.9,,20,,2,,,0,,,39,,,0,,,4,,,0,,,,,0,,,,,,
11220,,,,,972,,543,,,55.9,,39,,0,,,1,,,30,,,1,,,5,,,1,,,,,0,,,,,,
11221,,,,,921,,503,,,54.6,,21,,1,,,0,,,32,,,0,,,1,,,0,,,,,0,,,,,,
11224,,,,,806,,420,,,52.1,,44,,3,,,0,,,46,,,2,,,2,,,2,,,,,0,,,,,,
11226,,,,,906,,417,,,46.0,,10,,1,,,0,,,20,,,0,,,1,,,0,,,,,0,,,,,,
11227,,,,,"1,087",,611,,,56.2,,28,,2,,,1,,,41,,,0,,,5,,,3,,,,,0,,,,,,
11230,,,,,227,,147,,,64.8,,6,,1,,,0,,,18,,,0,,,1,,,1,,,,,1,,,,,,
11234,,,,,"1,584",,674,,,42.6,,26,,2,,,0,,,22,,,0,,,7,,,0,,,,,0,,,,,,
11235,,,,,"1,197",,484,,,40.4,,12,,1,,,1,,,44,,,0,,,2,,,0,,,,,0,,,,,,
11249,,,,,"1,203",,545,,,45.3,,27,,1,,,1,,,44,,,1,,,12,,,0,,,,,0,,,,,,
11253,,,,,633,,286,,,45.2,,16,,2,,,0,,,6,,,1,,,7,,,0,,,,,0,,,,,,
11258,,,,,"1,264",,558,,,44.1,,22,,0,,,1,,,27,,,0,,,6,,,1,,,,,0,,,,,,
11259,,,,,271,,159,,,58.7,,2,,0,,,0,,,11,,,1,,,0,,,0,,,,,1,,,,,,
11265,,,,,351,,181,,,51.6,,8,,0,,,0,,,17,,,0,,,2,,,0,,,,,1,,,,,,
11266,,,,,860,,374,,,43.5,,28,,3,,,1,,,23,,,1,,,9,,,1,,,,,0,,,,,,
11270,,,,,615,,264,,,42.9,,6,,0,,,0,,,12,,,0,,,4,,,0,,,,,0,,,,,,
11275,,,,,994,,490,,,49.3,,11,,4,,,0,,,25,,,0,,,6,,,0,,,,,0,,,,,,
11292,,,,,519,,182,,,35.1,,8,,0,,,0,,,11,,,0,,,0,,,0,,,,,0,,,,,,
11302,,,,,"1,030",,535,,,51.9,,22,,4,,,0,,,26,,,0,,,5,,,0,,,,,1,,,,,,
11303,,,,,623,,331,,,53.1,,31,,1,,,1,,,24,,,0,,,7,,,2,,,,,0,,,,,,
11304,,,,,929,,638,,,68.7,,29,,3,,,0,,,48,,,0,,,4,,,0,,,,,0,,,,,,
11305,,,,,551,,408,,,74.0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,AMY KLOBUCHAR,,,,BERNIE SANDERS,,,JOE SESTAK,,,TOM STEYER,,,DEVAL PATRICK,,,MICHAEL BENNET,,,MICHAEL R. BLOOMBERG,,,MOSIE BOYD,,,CORY BOOKER,,,,,,,,,,
11101,,,,,,2,,,,,203,,1,,,16,,,1,,,2,,,83,,,0,,,2,,,,,,,,,
11102,,,,,,0,,,,,193,,0,,,12,,,0,,,4,,,80,,,0,,,1,,,,,,,,,
11103,,,,,,6,,,,,218,,0,,,13,,,0,,,3,,,94,,,0,,,2,,,,,,,,,
11105,,,,,,3,,,,,204,,0,,,17,,,1,,,8,,,128,,,0,,,0,,,,,,,,,
11107,,,,,,2,,,,,198,,1,,,14,,,0,,,8,,,81,,,0,,,1,,,,,,,,,
11108,,,,,,0,,,,,173,,0,,,19,,,0,,,8,,,102,,,0,,,0,,,,,,,,,
11109,,,,,,3,,,,,117,,0,,,17,,,1,,,1,,,47,,,1,,,1,,,,,,,,,
11111,,,,,,5,,,,,136,,0,,,14,,,0,,,5,,,51,,,0,,,0,,,,,,,,,
11112,,,,,,2,,,,,166,,3,,,17,,,0,,,4,,,86,,,0,,,1,,,,,,,,,
11114,,,,,,13,,,,,255,,1,,,32,,,0,,,2,,,125,,,0,,,4,,,,,,,,,
11115,,,,,,1,,,,,221,,1,,,19,,,0,,,1,,,68,,,0,,,1,,,,,,,,,
11117,,,,,,7,,,,,127,,0,,,21,,,0,,,1,,,75,,,2,,,2,,,,,,,,,
11118,,,,,,1,,,,,171,,1,,,12,,,0,,,5,,,83,,,0,,,2,,,,,,,,,
11120,,,,,,2,,,,,176,,0,,,15,,,0,,,8,,,73,,,2,,,2,,,,,,,,,
11124,,,,,,1,,,,,33,,0,,,9,,,0,,,1,,,14,,,0,,,0,,,,,,,,,
11127,,,,,,0,,,,,176,,1,,,15,,,0,,,8,,,60,,,0,,,2,,,,,,,,,
11130,,,,,,0,,,,,29,,0,,,2,,,0,,,0,,,16,,,0,,,1,,,,,,,,,
11137,,,,,,2,,,,,177,,0,,,11,,,1,,,4,,,66,,,1,,,1,,,,,,,,,
11142,,,,,,3,,,,,236,,0,,,10,,,1,,,2,,,84,,,0,,,5,,,,,,,,,
11149,,,,,,5,,,,,131,,0,,,6,,,0,,,1,,,54,,,0,,,0,,,,,,,,,
11151,,,,,,9,,,,,235,,0,,,21,,,0,,,0,,,94,,,0,,,0,,,,,,,,,
11166,,,,,,4,,,,,156,,0,,,6,,,0,,,1,,,59,,,0,,,0,,,,,,,,,
11201,,,,,,20,,,,,140,,0,,,9,,,0,,,0,,,47,,,0,,,0,,,,,,,,,
11202,,,,,,9,,,,,152,,0,,,8,,,1,,,2,,,81,,,0,,,2,,,,,,,,,
11203,,,,,,13,,,,,89,,0,,,6,,,0,,,1,,,74,,,0,,,3,,,,,,,,,
11205,,,,,,4,,,,,27,,0,,,3,,,0,,,0,,,25,,,0,,,0,,,,,,,,,
11206,,,,,,8,,,,,106,,0,,,6,,,0,,,0,,,50,,,1,,,0,,,,,,,,,
11208,,,,,,7,,,,,122,,1,,,18,,,0,,,2,,,66,,,1,,,2,,,,,,,,,
11209,,,,,,11,,,,,105,,0,,,16,,,1,,,0,,,69,,,0,,,1,,,,,,,,,
11211,,,,,,5,,,,,122,,0,,,13,,,0,,,3,,,53,,,1,,,1,,,,,,,,,
11212,,,,,,1,,,,,65,,0,,,3,,,0,,,1,,,21,,,1,,,1,,,,,,,,,
11214,,,,,,7,,,,,177,,0,,,15,,,0,,,3,,,75,,,0,,,3,,,,,,,,,
11215,,,,,,5,,,,,232,,1,,,21,,,0,,,4,,,100,,,0,,,0,,,,,,,,,
11217,,,,,,21,,,,,227,,0,,,12,,,0,,,1,,,124,,,0,,,0,,,,,,,,,
11218,,,,,,1,,,,,183,,0,,,6,,,0,,,4,,,86,,,0,,,2,,,,,,,,,
11219,,,,,,18,,,,,122,,1,,,10,,,0,,,2,,,62,,,0,,,0,,,,,,,,,
11220,,,,,,9,,,,,182,,0,,,19,,,0,,,2,,,107,,,0,,,0,,,,,,,,,
11221,,,,,,9,,,,,133,,1,,,21,,,0,,,2,,,79,,,0,,,0,,,,,,,,,
11224,,,,,,4,,,,,150,,0,,,7,,,0,,,1,,,83,,,0,,,0,,,,,,,,,
11226,,,,,,4,,,,,150,,0,,,17,,,2,,,5,,,74,,,2,,,1,,,,,,,,,
11227,,,,,,16,,,,,190,,0,,,25,,,1,,,0,,,124,,,0,,,0,,,,,,,,,
11230,,,,,,6,,,,,42,,0,,,4,,,0,,,0,,,23,,,0,,,0,,,,,,,,,
11234,,,,,,1,,,,,299,,0,,,14,,,1,,,7,,,85,,,0,,,3,,,,,,,,,
11235,,,,,,7,,,,,162,,0,,,13,,,1,,,1,,,73,,,0,,,1,,,,,,,,,
11249,,,,,,6,,,,,208,,1,,,10,,,0,,,6,,,80,,,0,,,3,,,,,,,,,
11253,,,,,,0,,,,,125,,0,,,15,,,1,,,4,,,37,,,1,,,0,,,,,,,,,
11258,,,,,,7,,,,,243,,0,,,15,,,1,,,1,,,83,,,0,,,1,,,,,,,,,
11259,,,,,,3,,,,,40,,0,,,6,,,1,,,0,,,35,,,1,,,0,,,,,,,,,
11265,,,,,,3,,,,,54,,0,,,8,,,0,,,0,,,28,,,0,,,0,,,,,,,,,
11266,,,,,,5,,,,,132,,0,,,9,,,0,,,5,,,63,,,0,,,4,,,,,,,,,
11270,,,,,,2,,,,,113,,0,,,7,,,0,,,2,,,50,,,0,,,1,,,,,,,,,
11275,,,,,,7,,,,,163,,0,,,23,,,0,,,6,,,102,,,0,,,1,,,,,,,,,
11292,,,,,,2,,,,,58,,0,,,6,,,0,,,2,,,31,,,0,,,0,,,,,,,,,
11302,,,,,,5,,,,,174,,0,,,24,,,1,,,2,,,90,,,0,,,0,,,,,,,,,
11303,,,,,,6,,,,,130,,0,,,3,,,1,,,3,,,42,,,0,,,0,,,,,,,,,
11304,,,,,,18,,,,,160,,1,,,9,,,0,,,1,,,125,,,1,,,0,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,PETE BUTTIGIEG,,,,JOSEPH R. BIDEN,,,TULSI GABBARD,,,MARK STEWART GREENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,
11101,,,,,,6,,,,,140,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11102,,,,,,11,,,,,140,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11103,,,,,,5,,,,,153,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11105,,,,,,13,,,,,170,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11107,,,,,,9,,,,,140,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11108,,,,,,10,,,,,110,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11109,,,,,,5,,,,,128,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11111,,,,,,7,,,,,121,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11112,,,,,,2,,,,,148,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11114,,,,,,36,,,,,269,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11115,,,,,,7,,,,,121,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11117,,,,,,18,,,,,110,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11118,,,,,,2,,,,,176,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11120,,,,,,6,,,,,121,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11124,,,,,,1,,,,,26,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11127,,,,,,6,,,,,91,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11130,,,,,,1,,,,,29,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11137,,,,,,7,,,,,164,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11142,,,,,,7,,,,,233,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11149,,,,,,21,,,,,92,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11151,,,,,,31,,,,,181,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11166,,,,,,3,,,,,135,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11201,,,,,,25,,,,,118,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11202,,,,,,13,,,,,189,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11203,,,,,,26,,,,,174,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11205,,,,,,8,,,,,58,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11206,,,,,,23,,,,,127,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11208,,,,,,16,,,,,163,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11209,,,,,,29,,,,,183,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11211,,,,,,20,,,,,109,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11212,,,,,,3,,,,,51,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11214,,,,,,7,,,,,146,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11215,,,,,,22,,,,,197,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11217,,,,,,49,,,,,230,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11218,,,,,,13,,,,,173,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11219,,,,,,32,,,,,140,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11220,,,,,,33,,,,,176,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11221,,,,,,19,,,,,215,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11224,,,,,,18,,,,,129,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11226,,,,,,16,,,,,122,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11227,,,,,,26,,,,,194,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11230,,,,,,9,,,,,39,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11234,,,,,,17,,,,,221,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11235,,,,,,20,,,,,146,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11249,,,,,,11,,,,,171,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11253,,,,,,4,,,,,94,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11258,,,,,,13,,,,,167,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11259,,,,,,7,,,,,50,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11265,,,,,,10,,,,,64,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11266,,,,,,7,,,,,134,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11270,,,,,,3,,,,,65,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11275,,,,,,21,,,,,127,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11292,,,,,,5,,,,,72,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11302,,,,,,12,,,,,190,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11303,,,,,,13,,,,,120,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11304,,,,,,33,,,,,246,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
11306,,,,,"1,188",,672,,,56.6,,15,,2,,,0,,,72,,,1,,,7,,,0,,,,,,,0,,,,
11307,,,,,"1,314",,823,,,62.6,,9,,2,,,0,,,50,,,0,,,3,,,2,,,,,,,0,,,,
11308,,,,,804,,484,,,60.2,,30,,1,,,0,,,40,,,1,,,4,,,0,,,,,,,0,,,,
11309,,,,,"1,331",,779,,,58.5,,57,,1,,,0,,,48,,,0,,,5,,,0,,,,,,,0,,,,
11310,,,,,410,,193,,,47.1,,2,,1,,,0,,,9,,,0,,,2,,,0,,,,,,,0,,,,
11312,,,,,996,,567,,,56.9,,19,,2,,,0,,,42,,,2,,,4,,,0,,,,,,,0,,,,
11315,,,,,"1,293",,627,,,48.5,,30,,2,,,1,,,37,,,0,,,2,,,0,,,,,,,1,,,,
11316,,,,,"1,114",,558,,,50.1,,10,,2,,,1,,,41,,,0,,,2,,,1,,,,,,,0,,,,
11320,,,,,627,,353,,,56.3,,18,,0,,,0,,,32,,,0,,,0,,,0,,,,,,,0,,,,
11322,,,,,679,,266,,,39.2,,10,,0,,,0,,,14,,,1,,,3,,,0,,,,,,,0,,,,
11323,,,,,917,,534,,,58.2,,3,,0,,,0,,,24,,,1,,,9,,,1,,,,,,,2,,,,
11324,,,,,"1,090",,631,,,57.9,,13,,1,,,0,,,33,,,3,,,13,,,0,,,,,,,0,,,,
11333,,,,,642,,322,,,50.2,,18,,2,,,0,,,20,,,0,,,2,,,0,,,,,,,0,,,,
33501,,,,,"1,176",,606,,,51.5,,34,,3,,,1,,,43,,,0,,,3,,,1,,,,,,,0,,,,
33502,,,,,737,,414,,,56.2,,11,,2,,,0,,,24,,,0,,,1,,,0,,,,,,,0,,,,
33503,,,,,"1,211",,656,,,54.2,,36,,6,,,2,,,33,,,0,,,6,,,0,,,,,,,0,,,,
33504,,,,,"1,030",,498,,,48.3,,16,,3,,,2,,,36,,,0,,,3,,,0,,,,,,,0,,,,
33507,,,,,646,,348,,,53.9,,21,,2,,,0,,,18,,,1,,,0,,,1,,,,,,,0,,,,
33509,,,,,"1,205",,593,,,49.2,,36,,5,,,0,,,28,,,0,,,5,,,1,,,,,,,0,,,,
33513,,,,,341,,181,,,53.1,,13,,2,,,1,,,18,,,0,,,1,,,0,,,,,,,1,,,,
33514,,,,,889,,483,,,54.3,,21,,2,,,0,,,36,,,0,,,7,,,1,,,,,,,0,,,,
33517,,,,,779,,437,,,56.1,,7,,2,,,0,,,30,,,0,,,1,,,0,,,,,,,1,,,,
33520,,,,,"1,106",,638,,,57.7,,45,,1,,,1,,,51,,,0,,,1,,,1,,,,,,,0,,,,
33521,,,,,692,,387,,,55.9,,33,,1,,,0,,,26,,,0,,,2,,,0,,,,,,,0,,,,
33524,,,,,462,,293,,,63.4,,28,,0,,,0,,,26,,,1,,,0,,,1,,,,,,,1,,,,
33525,,,,,"1,298",,704,,,54.2,,37,,1,,,0,,,41,,,0,,,7,,,0,,,,,,,1,,,,
33527,,,,,629,,349,,,55.5,,30,,1,,,0,,,29,,,2,,,4,,,0,,,,,,,1,,,,
33529,,,,,"1,029",,606,,,58.9,,13,,1,,,0,,,34,,,0,,,2,,,0,,,,,,,0,,,,
33530,,,,,"1,321",,745,,,56.4,,62,,2,,,0,,,70,,,1,,,10,,,0,,,,,,,0,,,,
33533,,,,,894,,495,,,55.4,,40,,3,,,2,,,41,,,2,,,4,,,0,,,,,,,0,,,,
33540,,,,,"1,260",,584,,,46.3,,31,,2,,,0,,,36,,,0,,,5,,,1,,,,,,,0,,,,
33543,,,,,"1,175",,708,,,60.3,,53,,1,,,0,,,59,,,0,,,9,,,0,,,,,,,0,,,,
33546,,,,,872,,458,,,52.5,,36,,3,,,0,,,47,,,1,,,4,,,0,,,,,,,0,,,,
42401,,,,,727,,407,,,56.0,,28,,1,,,0,,,32,,,0,,,3,,,0,,,,,,,0,,,,
42402,,,,,504,,388,,,77.0,,28,,0,,,0,,,44,,,1,,,0,,,0,,,,,,,0,,,,
42404,,,,,938,,446,,,47.5,,91,,0,,,0,,,52,,,1,,,3,,,0,,,,,,,1,,,,
42405,,,,,328,,178,,,54.3,,11,,1,,,0,,,13,,,0,,,1,,,0,,,,,,,0,,,,
