PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42406,,,,,570,,326,,,57.2,,30,,1,,,0,,,44,,,1,,,1,,,1,,,,,,,0,,,,
42407,,,,,425,,246,,,57.9,,15,,0,,,0,,,23,,,0,,,0,,,0,,,,,,,0,,,,
42408,,,,,442,,272,,,61.5,,17,,3,,,0,,,18,,,0,,,1,,,0,,,,,,,0,,,,
42411,,,,,519,,387,,,74.6,,29,,0,,,0,,,51,,,1,,,2,,,0,,,,,,,0,,,,
42415,,,,,556,,365,,,65.6,,25,,0,,,0,,,27,,,0,,,1,,,3,,,,,,,1,,,,
42418,,,,,721,,466,,,64.6,,18,,0,,,0,,,44,,,1,,,1,,,0,,,,,,,2,,,,
42422,,,,,524,,359,,,68.5,,20,,1,,,0,,,34,,,0,,,2,,,0,,,,,,,0,,,,
42426,,,,,724,,457,,,63.1,,19,,1,,,0,,,32,,,1,,,2,,,1,,,,,,,0,,,,
42427,,,,,704,,290,,,41.2,,16,,1,,,0,,,16,,,1,,,0,,,2,,,,,,,1,,,,
42429,,,,,467,,243,,,52.0,,15,,0,,,0,,,19,,,0,,,3,,,1,,,,,,,0,,,,
42432,,,,,470,,339,,,72.1,,9,,0,,,0,,,20,,,0,,,3,,,0,,,,,,,0,,,,
42434,,,,,484,,224,,,46.3,,27,,2,,,0,,,18,,,0,,,0,,,1,,,,,,,0,,,,
42439,,,,,526,,389,,,74.0,,13,,1,,,0,,,29,,,1,,,1,,,0,,,,,,,2,,,,
54301,,,,,446,,177,,,39.7,,90,,0,,,0,,,20,,,0,,,0,,,1,,,,,,,0,,,,
54302,,,,,839,,470,,,56.0,,13,,2,,,0,,,29,,,0,,,8,,,2,,,,,,,0,,,,
54304,,,,,748,,410,,,54.8,,25,,0,,,0,,,31,,,2,,,2,,,3,,,,,,,0,,,,
54305,,,,,870,,503,,,57.8,,4,,5,,,4,,,39,,,2,,,2,,,0,,,,,,,0,,,,
54307,,,,,"1,015",,542,,,53.4,,12,,1,,,0,,,44,,,0,,,4,,,1,,,,,,,0,,,,
54310,,,,,763,,410,,,53.7,,16,,2,,,1,,,32,,,0,,,0,,,0,,,,,,,0,,,,
54312,,,,,433,,179,,,41.3,,13,,1,,,0,,,6,,,0,,,0,,,0P-27,,,,,,,0,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,AMY KLOBUCHAR,,,,BERNIE SANDERS,,,JOE SESTAK,,,TOM STEYER,,,DEVAL PATRICK,,,MICHAEL BENNET,,,MICHAEL R. BLOOMBERG,,,MOSIE BOYD,,,CORY BOOKER,,,,,,,,,,
11306,,,,,11,,,,185,,,1,,,22,,,0,,,4,,,125,,,0,,,0,,,,,,,,,,
11307,,,,,,18,,,,,221,,2,,,28,,,0,,,3,,,131,,,1,,,0,,,,,,,,,
11308,,,,,,15,,,,,168,,0,,,8,,,1,,,1,,,76,,,0,,,2,,,,,,,,,
11309,,,,,,5,,,,,231,,0,,,14,,,0,,,2,,,137,,,1,,,1,,,,,,,,,
11310,,,,,,9,,,,,60,,0,,,5,,,0,,,0,,,37,,,0,,,0,,,,,,,,,
11312,,,,,,11,,,,,184,,1,,,17,,,0,,,1,,,96,,,0,,,1,,,,,,,,,
11315,,,,,,11,,,,,189,,0,,,31,,,3,,,2,,,128,,,0,,,1,,,,,,,,,
11316,,,,,,7,,,,,187,,1,,,18,,,0,,,3,,,94,,,1,,,2,,,,,,,,,
11320,,,,,,7,,,,,104,,1,,,10,,,0,,,0,,,60,,,0,,,0,,,,,,,,,
11322,,,,,,2,,,,,81,,0,,,11,,,0,,,2,,,72,,,0,,,0,,,,,,,,,
11323,,,,,,7,,,,,157,,1,,,17,,,0,,,3,,,60,,,0,,,2,,,,,,,,,
11324,,,,,,13,,,,,185,,2,,,12,,,0,,,0,,,109,,,0,,,0,,,,,,,,,
11333,,,,,,3,,,,,104,,1,,,6,,,1,,,0,,,61,,,0,,,0,,,,,,,,,
33501,,,,,,6,,,,,258,,0,,,13,,,1,,,5,,,91,,,0,,,2,,,,,,,,,
33502,,,,,,8,,,,,146,,1,,,8,,,1,,,1,,,49,,,0,,,0,,,,,,,,,
33503,,,,,,4,,,,,253,,3,,,17,,,1,,,2,,,104,,,0,,,1,,,,,,,,,
33504,,,,,,5,,,,,181,,0,,,12,,,0,,,6,,,80,,,0,,,1,,,,,,,,,
33507,,,,,,6,,,,,136,,0,,,12,,,0,,,2,,,55,,,0,,,1,,,,,,,,,
33509,,,,,,9,,,,,243,,2,,,13,,,1,,,2,,,103,,,0,,,1,,,,,,,,,
33513,,,,,,0,,,,,67,,0,,,6,,,0,,,1,,,35,,,0,,,0,,,,,,,,,
33514,,,,,,13,,,,,146,,0,,,11,,,0,,,2,,,89,,,0,,,0,,,,,,,,,
33517,,,,,,12,,,,,148,,0,,,15,,,0,,,1,,,48,,,0,,,1,,,,,,,,,
33520,,,,,,6,,,,,238,,1,,,10,,,0,,,3,,,91,,,0,,,1,,,,,,,,,
33521,,,,,,15,,,,,128,,0,,,13,,,0,,,0,,,63,,,1,,,1,,,,,,,,,
33524,,,,,,9,,,,,99,,0,,,5,,,0,,,1,,,39,,,0,,,0,,,,,,,,,
33525,,,,,,5,,,,,302,,3,,,5,,,0,,,3,,,100,,,0,,,0,,,,,,,,,
33527,,,,,,9,,,,,121,,0,,,3,,,0,,,4,,,77,,,0,,,0,,,,,,,,,
33529,,,,,,7,,,,,229,,0,,,10,,,1,,,1,,,92,,,0,,,0,,,,,,,,,
33530,,,,,,10,,,,,317,,0,,,5,,,0,,,5,,,76,,,0,,,2,,,,,,,,,
33533,,,,,,13,,,,,153,,1,,,13,,,1,,,1,,,83,,,0,,,5,,,,,,,,,
33540,,,,,,3,,,,,244,,2,,,10,,,0,,,5,,,72,,,1,,,0,,,,,,,,,
33543,,,,,,12,,,,,244,,0,,,12,,,0,,,4,,,116,,,0,,,0,,,,,,,,,
33546,,,,,,13,,,,,148,,1,,,7,,,0,,,2,,,91,,,0,,,1,,,,,,,,,
42401,,,,,,7,,,,,155,,0,,,13,,,0,,,0,,,73,,,0,,,1,,,,,,,,,
42402,,,,,,13,,,,,106,,1,,,17,,,1,,,0,,,62,,,0,,,0,,,,,,,,,
42404,,,,,,14,,,,,211,,0,,,22,,,0,,,2,,,71,,,0,,,0,,,,,,,,,
42405,,,,,,5,,,,,75,,1,,,7,,,0,,,0,,,30,,,0,,,0,,,,,,,,,
42406,,,,,,12,,,,,113,,0,,,8,,,0,,,0,,,45,,,0,,,0,,,,,,,,,
42407,,,,,,12,,,,,96,,0,,,12,,,0,,,1,,,32,,,0,,,0,,,,,,,,,
42408,,,,,,5,,,,,106,,0,,,6,,,0,,,1,,,53,,,0,,,0,,,,,,,,,
42411,,,,,,9,,,,,108,,0,,,16,,,1,,,0,,,70,,,0,,,0,,,,,,,,,
42415,,,,,,12,,,,,102,,0,,,10,,,0,,,2,,,58,,,0,,,0,,,,,,,,,
42418,,,,,,13,,,,,131,,0,,,17,,,0,,,1,,,74,,,0,,,1,,,,,,,,,
42422,,,,,,13,,,,,79,,0,,,13,,,0,,,1,,,52,,,0,,,0,,,,,,,,,
42426,,,,,,13,,,,,133,,0,,,17,,,3,,,1,,,63,,,1,,,0,,,,,,,,,
42427,,,,,,8,,,,,176,,1,,,4,,,0,,,1,,,28,,,0,,,0,,,,,,,,,
42429,,,,,,3,,,,,126,,0,,,9,,,0,,,2,,,31,,,0,,,0,,,,,,,,,
42432,,,,,,15,,,,,89,,0,,,11,,,0,,,1,,,58,,,0,,,0,,,,,,,,,
42434,,,,,,3,,,,,118,,0,,,6,,,0,,,1,,,45,,,0,,,1,,,,,,,,,
42439,,,,,,18,,,,,88,,1,,,9,,,0,,,1,,,76,,,0,,,0,,,,,,,,,
54301,,,,,,6,,,,,79,,0,,,10,,,1,,,1,,,37,,,0,,,0,,,,,,,,,
54302,,,,,,11,,,,,139,,1,,,16,,,4,,,2,,,63,,,0,,,0,,,,,,,,,
54304,,,,,,5,,,,,134,,0,,,12,,,0,,,1,,,59,,,0,,,0,,,,,,,,,
54305,,,,,,5,,,,,177,,0,,,19,,,0,,,1,,,64,,,0,,,2,,,,,,,,,
54307,,,,,,8,,,,,203,,0,,,16,,,0,,,1,,,74,,,0,,,1,,,,,,,,,
54310,,,,,,5,,,,,139,,0,,,12,,,0,,,0,,,60,,,0,,,0,,,,,,,,,
54312,,,,,,1,,,,,91,,0,,,7,,,1,,,1,,,28,,,0,,,P-028,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,PETE BUTTIGIEG,,,,JOSEPH R. BIDEN,,,TULSI GABBARD,,,MARK STEWART GREENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,
11306,,,,,28,,,,215,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11307,,,,,21,311,   7,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11308,,,,,18,172,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11309,,,,,22,343,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11310,,,,,  6, 55,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11312,,,,,24,185,   2,   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11315,,,,,26,193,   9,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11316,,,,,16,172,   5,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11320,,,,,20,128,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11322,,,,,  4, 78,   2,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11323,,,,,  8,220,   8,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11324,,,,,24,226,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11333,,,,,  9,125,   1,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33501,,,,,14,183,   4,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33502,,,,,30,144,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33503,,,,,18,220,   4,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33504,,,,,14,152,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33507,,,,,14,105,   7,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509,,,,,23,178,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33513,,,,,17, 42,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33514,,,,,23,162,   3,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33517,,,,,15,156,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33520,,,,,21,231,   8,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33521,,,,,15,151,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33524,,,,,23,110,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33525,,,,,30,222,   3,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33527,,,,,14,102,   5,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33529,,,,,20,208,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33530,,,,,31,235, 10,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33533,,,,,25,182,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33540,,,,,19,183, 11,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33543,,,,,31,257,   4,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33546,,,,,13,148,   5,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42401,,,,,20,117,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42402,,,,,26,135,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42404,,,,,13,128,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42405,,,,,14, 41,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42406,,,,,20,101,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42407,,,,,  7, 58,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42408,,,,,12, 72,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42411,,,,,23,130,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42415,,,,,19,139,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42418,,,,,23,153,   6,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42422,,,,,33,139,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42426,,,,,38,151,   5,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42427,,,,,  9, 51,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42429,,,,,12, 45,   1,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42432,,,,,24,112,   3,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42434,,,,,  8, 43,   1,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42439,,,,,27,132,   5,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54301,,,,,19, 82,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54302,,,,,21,158,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54304,,,,,25,139,   4,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54305,,,,,17,154,   5,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54307,,,,,20,150,   8,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54310,,,,,15,143,   0,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54312,,,,,  5, 44,   2,   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P-29,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
54318,,,,,"1,270",,"1,098",,,86.5,,17,,2,,,1,,,59,,,2,,,3,,,2,,,,,1,,,,,,
54320,,,,,692,,397,,,57.4,,7,,3,,,1,,,28,,,0,,,2,,,1,,,,,0,,,,,,
54321,,,,,556,,281,,,50.5,,16,,4,,,1,,,18,,,0,,,3,,,0,,,,,0,,,,,,
54324,,,,,723,,422,,,58.4,,26,,2,,,1,,,28,,,0,,,5,,,0,,,,,0,,,,,,
54501,,,,,728,,355,,,48.8,,19,,3,,,0,,,17,,,1,,,2,,,0,,,,,0,,,,,,
54503,,,,,"1,076",,558,,,51.9,,28,,1,,,0,,,37,,,0,,,4,,,1,,,,,0,,,,,,
54504,,,,,334,,168,,,50.3,,15,,2,,,0,,,11,,,0,,,1,,,0,,,,,0,,,,,,
54505,,,,,"1,003",,530,,,52.8,,10,,0,,,1,,,35,,,1,,,6,,,1,,,,,0,,,,,,
54507,,,,,470,,250,,,53.2,,13,,1,,,0,,,22,,,0,,,1,,,0,,,,,0,,,,,,
54509,,,,,782,,401,,,51.3,,26,,2,,,2,,,22,,,1,,,7,,,1,,,,,0,,,,,,
54510,,,,,546,,293,,,53.7,,11,,0,,,0,,,22,,,0,,,0,,,0,,,,,0,,,,,,
54511,,,,,463,,278,,,60.0,,13,,0,,,0,,,25,,,2,,,0,,,0,,,,,1,,,,,,
54514,,,,,"1,151",,627,,,54.5,,29,,1,,,1,,,42,,,0,,,3,,,0,,,,,2,,,,,,
54526,,,,,274,,177,,,64.6,,12,,1,,,0,,,7,,,1,,,1,,,0,,,,,0,,,,,,
64401,,,,,502,,311,,,62.0,,20,,2,,,0,,,26,,,0,,,0,,,1,,,,,0,,,,,,
64402,,,,,590,,355,,,60.2,,6,,3,,,0,,,28,,,1,,,1,,,0,,,,,0,,,,,,
74401,,,,,510,,353,,,69.2,,25,,1,,,0,,,38,,,1,,,4,,,0,,,,,2,,,,,,
74402,,,,,420,,247,,,58.8,,30,,0,,,0,,,18,,,0,,,1,,,0,,,,,0,,,,,,
74403,,,,,367,,232,,,63.2,,11,,0,,,0,,,20,,,0,,,1,,,0,,,,,0,,,,,,
74405,,,,,289,,187,,,64.7,,10,,0,,,0,,,13,,,0,,,1,,,1,,,,,0,,,,,,
74408,,,,,494,,338,,,68.4,,16,,1,,,0,,,26,,,0,,,3,,,1,,,,,1,,,,,,
84301,,,,,486,,198,,,40.7,,37,,1,,,0,,,16,,,0,,,0,,,0,,,,,0,,,,,,
84302,,,,,669,,346,,,51.7,,22,,4,,,0,,,17,,,0,,,1,,,1,,,,,0,,,,,,
84303,,,,,702,,330,,,47.0,,21,,0,,,0,,,13,,,2,,,2,,,0,,,,,0,,,,,,
84306,,,,,746,,354,,,47.5,,21,,2,,,2,,,12,,,1,,,0,,,0,,,,,0,,,,,,
84307,,,,,669,,340,,,50.8,,15,,2,,,0,,,13,,,0,,,2,,,1,,,,,0,,,,,,
84309,,,,,989,,433,,,43.8,,19,,0,,,0,,,37,,,0,,,3,,,0,,,,,0,,,,,,
84501,,,,,812,,448,,,55.2,,8,,0,,,0,,,50,,,0,,,7,,,0,,,,,0,,,,,,
91101,,,,,314,,132,,,42.0,,0,,0,,,0,,,4,,,0,,,2,,,0,,,,,0,,,,,,
91102,,,,,143,,68,,,47.6,,3,,0,,,0,,,3,,,0,,,0,,,0,,,,,0,,,,,,
91105,,,,,247,,92,,,37.2,,9,,1,,,0,,,7,,,0,,,0,,,0,,,,,0,,,,,,
91107,,,,,569,,260,,,45.7,,13,,1,,,1,,,6,,,0,,,3,,,1,,,,,0,,,,,,
91108,,,,,689,,339,,,49.2,,23,,0,,,0,,,20,,,1,,,2,,,0,,,,,1,,,,,,
91111,,,,,769,,423,,,55.0,,40,,4,,,0,,,33,,,1,,,1,,,1,,,,,0,,,,,,
91113,,,,,528,,225,,,42.6,,7,,1,,,0,,,11,,,0,,,2,,,1,,,,,0,,,,,,
91203,,,,,147,,86,,,58.5,,10,,1,,,0,,,8,,,0,,,0,,,0,,,,,0,,,,,,
91205,,,,,"1,073",,638,,,59.5,,45,,2,,,0,,,52,,,1,,,2,,,0,,,,,0,,,,,,
91206,,,,,355,,162,,,45.6,,7,,1,,,0,,,6,,,0,,,0,,,0,,,,,0,,,,,,
91207,,,,,387,,141,,,36.4,,10,,5,,,0,,,4,,,0,,,0,,,1,,,,,1,,,,,,
91213,,,,,102,,57,,,55.9,,0,,0,,,0,,,1,,,0,,,0,,,0,,,,,0,,,,,,
91216,,,,,811,,315,,,38.8,,12,,3,,,0,,,11,,,0,,,2,,,1,,,,,0,,,,,,
91217,,,,,645,,282,,,43.7,,16,,3,,,0,,,9,,,0,,,1,,,0,,,,,1,,,,,,
91227,,,,,263,,140,,,53.2,,5,,0,,,1,,,6,,,0,,,1,,,0,,,,,0,,,,,,
91301,,,,,345,,204,,,59.1,,17,,1,,,0,,,19,,,1,,,0,,,0,,,,,0,,,,,,
91303,,,,,849,,526,,,62.0,,23,,1,,,0,,,30,,,1,,,2,,,1,,,,,1,,,,,,
91402,,,,,518,,322,,,62.2,,19,,0,,,0,,,22,,,0,,,3,,,0,,,,,0,,,,,,
91404,,,,,233,,139,,,59.7,,6,,0,,,0,,,6,,,0,,,1,,,2,,,,,0,,,,,,
91408,,,,,868,,601,,,69.2,,13,,2,,,0,,,50,,,0,,,7,,,1,,,,,0,,,,,,
91414,,,,,563,,314,,,55.8,,21,,2,,,1,,,22,,,2,,,3,,,1,,,,,0,,,,,,
