LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MITCH O'FARRELL,HUGO SOTO-MARTINEZ,
LOS ANGELES,9000001A,1084,277,N, ,POLLING PLACE,249,110,124, 
LOS ANGELES,9000001A,1084,277,N, ,VBM PORTION,1800,838,876, 
LOS ANGELES,9000001A,1084,277,N,2597,TOTAL,2049,948,1000, 
LOS ANGELES,9000048A,1097,269,N, ,POLLING PLACE,204,63,121, 
LOS ANGELES,9000048A,1097,269,N, ,VBM PORTION,564,210,325, 
LOS ANGELES,9000048A,1097,269,N,1941,TOTAL,768,273,446, 
LOS ANGELES,9000369A,1191,277,N, ,POLLING PLACE,247,86,135, 
LOS ANGELES,9000369A,1191,277,N, ,VBM PORTION,1156,468,620, 
LOS ANGELES,9000369A,1191,277,N,2553,TOTAL,1403,554,755, 
LOS ANGELES,9000395B,1199,269,N, ,POLLING PLACE,136,45,74, 
LOS ANGELES,9000395B,1199,269,N, ,VBM PORTION,414,176,215, 
LOS ANGELES,9000395B,1199,269,N,1694,TOTAL,550,221,289, 
LOS ANGELES,9000426A,1209,269,N, ,POLLING PLACE,284,108,147, 
LOS ANGELES,9000426A,1209,269,N, ,VBM PORTION,938,355,505, 
LOS ANGELES,9000426A,1209,269,N,2826,TOTAL,1222,463,652, 
LOS ANGELES,9000495A,1220,273,N, ,POLLING PLACE,217,75,126, 
LOS ANGELES,9000495A,1220,273,N, ,VBM PORTION,759,332,387, 
LOS ANGELES,9000495A,1220,273,N,2311,TOTAL,976,407,513, 
LOS ANGELES,9000530A,1229,198,N, ,POLLING PLACE,285,93,155, 
LOS ANGELES,9000530A,1229,198,N, ,VBM PORTION,1214,470,624, 
LOS ANGELES,9000530A,1229,198,N,3055,TOTAL,1499,563,779, 
LOS ANGELES,9000544A,1232,198,N, ,POLLING PLACE,335,110,193, 
LOS ANGELES,9000544A,1232,198,N, ,VBM PORTION,1250,436,700, 
LOS ANGELES,9000544A,1232,198,N,3391,TOTAL,1585,546,893, 
LOS ANGELES,9000550B,7592,296,N, ,POLLING PLACE,21,9,8, 
LOS ANGELES,9000550B,7592,296,N, ,VBM PORTION,62,39,20, 
LOS ANGELES,9000550B,7592,296,N,331,TOTAL,83,48,28, 
LOS ANGELES,9000580A,1240,278,N, ,POLLING PLACE,301,88,186, 
LOS ANGELES,9000580A,1240,278,N, ,VBM PORTION,967,266,634, 
LOS ANGELES,9000580A,1240,278,N,2951,TOTAL,1268,354,820, 
LOS ANGELES,9000600A,1244,277,N, ,POLLING PLACE,249,112,118, 
LOS ANGELES,9000600A,1244,277,N, ,VBM PORTION,1347,545,701, 
LOS ANGELES,9000600A,1244,277,N,2486,TOTAL,1596,657,819, 
LOS ANGELES,9000601C,1245,269,N, ,POLLING PLACE,196,66,107, 
LOS ANGELES,9000601C,1245,269,N, ,VBM PORTION,855,344,450, 
LOS ANGELES,9000601C,1245,269,N,2487,TOTAL,1051,410,557, 
LOS ANGELES,9000605A,1247,296,N, ,POLLING PLACE,294,106,156, 
LOS ANGELES,9000605A,1247,296,N, ,VBM PORTION,1148,471,581, 
LOS ANGELES,9000605A,1247,296,N,3688,TOTAL,1442,577,737, 
LOS ANGELES,9000642C,1258,198,N, ,POLLING PLACE,253,101,124, 
LOS ANGELES,9000642C,1258,198,N, ,VBM PORTION,1033,387,552, 
LOS ANGELES,9000642C,1258,198,N,2821,TOTAL,1286,488,676, 
LOS ANGELES,9000682A,1263,269,N, ,POLLING PLACE,181,59,101, 
LOS ANGELES,9000682A,1263,269,N, ,VBM PORTION,823,296,455, 
LOS ANGELES,9000682A,1263,269,N,2702,TOTAL,1004,355,556, 
LOS ANGELES,9000724A,1269,273,N, ,POLLING PLACE,254,111,120, 
LOS ANGELES,9000724A,1269,273,N, ,VBM PORTION,1372,640,643, 
LOS ANGELES,9000724A,1269,273,N,3677,TOTAL,1626,751,763, 
LOS ANGELES,9000731A,1271,282,N, ,POLLING PLACE,178,62,98, 
LOS ANGELES,9000731A,1271,282,N, ,VBM PORTION,712,280,359, 
LOS ANGELES,9000731A,1271,282,N,2136,TOTAL,890,342,457, 
LOS ANGELES,9000750A,1275,273,N, ,POLLING PLACE,223,80,123, 
LOS ANGELES,9000750A,1275,273,N, ,VBM PORTION,1014,450,497, 
LOS ANGELES,9000750A,1275,273,N,2761,TOTAL,1237,530,620, 
LOS ANGELES,9000770A,1279,288,N, ,POLLING PLACE,168,67,89, 
LOS ANGELES,9000770A,1279,288,N, ,VBM PORTION,844,348,448, 
LOS ANGELES,9000770A,1279,288,N,2585,TOTAL,1012,415,537, 
LOS ANGELES,9000782A,1281,198,N, ,POLLING PLACE,255,99,114, 
LOS ANGELES,9000782A,1281,198,N, ,VBM PORTION,963,472,371, 
LOS ANGELES,9000782A,1281,198,N,2901,TOTAL,1218,571,485, 
LOS ANGELES,9000784A,1282,274,N, ,POLLING PLACE,116,41,61, 
LOS ANGELES,9000784A,1282,274,N, ,VBM PORTION,671,327,282, 
LOS ANGELES,9000784A,1282,274,N,1808,TOTAL,787,368,343, 
LOS ANGELES,9000819A,1291,277,N, ,POLLING PLACE,201,71,112, 
LOS ANGELES,9000819A,1291,277,N, ,VBM PORTION,714,241,432, 
LOS ANGELES,9000819A,1291,277,N,1736,TOTAL,915,312,544, 
LOS ANGELES,9000826A,7606,277,N, ,POLLING PLACE,196,77,112, 
LOS ANGELES,9000826A,7606,277,N, ,VBM PORTION,1062,413,595, 
LOS ANGELES,9000826A,7606,277,N,1833,TOTAL,1258,490,707, 
LOS ANGELES,9000854A,1299,277,N, ,POLLING PLACE,213,67,130, 
LOS ANGELES,9000854A,1299,277,N, ,VBM PORTION,989,320,622, 
LOS ANGELES,9000854A,1299,277,N,1853,TOTAL,1202,387,752, 
LOS ANGELES,9000918A,1310,277,N, ,POLLING PLACE,108,51,47, 
LOS ANGELES,9000918A,1310,277,N, ,VBM PORTION,534,240,249, 
LOS ANGELES,9000918A,1310,277,N,1432,TOTAL,642,291,296, 
LOS ANGELES,9000919B,7613,288,N, ,POLLING PLACE,58,18,37, 
LOS ANGELES,9000919B,7613,288,N, ,VBM PORTION,249,99,136, 
LOS ANGELES,9000919B,7613,288,N,748,TOTAL,307,117,173, 
LOS ANGELES,9000933A,7614,271,N, ,POLLING PLACE,91,39,42, 
LOS ANGELES,9000933A,7614,271,N, ,VBM PORTION,377,157,178, 
LOS ANGELES,9000933A,7614,271,N,1131,TOTAL,468,196,220, 
LOS ANGELES,9000941A,1312,277,N, ,POLLING PLACE,177,62,108, 
LOS ANGELES,9000941A,1312,277,N, ,VBM PORTION,914,321,556, 
LOS ANGELES,9000941A,1312,277,N,1776,TOTAL,1091,383,664, 
LOS ANGELES,9000947A,1313,278,N, ,POLLING PLACE,371,103,247, 
LOS ANGELES,9000947A,1313,278,N, ,VBM PORTION,1875,533,1242, 
LOS ANGELES,9000947A,1313,278,N,3533,TOTAL,2246,636,1489, 
LOS ANGELES,9000964A,1315,278,N, ,POLLING PLACE,199,52,129, 
LOS ANGELES,9000964A,1315,278,N, ,VBM PORTION,651,200,411, 
LOS ANGELES,9000964A,1315,278,N,1819,TOTAL,850,252,540, 
LOS ANGELES,9000966A,1316,278,N, ,POLLING PLACE,184,57,116, 
LOS ANGELES,9000966A,1316,278,N, ,VBM PORTION,975,311,616, 
LOS ANGELES,9000966A,1316,278,N,2260,TOTAL,1159,368,732, 
LOS ANGELES,9000969A,1317,277,N, ,POLLING PLACE,305,105,179, 
LOS ANGELES,9000969A,1317,277,N, ,VBM PORTION,1342,473,801, 
LOS ANGELES,9000969A,1317,277,N,2965,TOTAL,1647,578,980, 
LOS ANGELES,9001023A,1327,296,N, ,POLLING PLACE,226,87,120, 
LOS ANGELES,9001023A,1327,296,N, ,VBM PORTION,1014,416,509, 
LOS ANGELES,9001023A,1327,296,N,2994,TOTAL,1240,503,629, 
LOS ANGELES,9001078A,1336,296,N, ,POLLING PLACE,190,60,111, 
LOS ANGELES,9001078A,1336,296,N, ,VBM PORTION,594,228,325, 
LOS ANGELES,9001078A,1336,296,N,2132,TOTAL,784,288,436, 
LOS ANGELES,9001232A,1364,281,N, ,POLLING PLACE,202,79,110, 
LOS ANGELES,9001232A,1364,281,N, ,VBM PORTION,680,332,305, 
LOS ANGELES,9001232A,1364,281,N,2195,TOTAL,882,411,415, 
LOS ANGELES,9001387A,1384,278,N, ,POLLING PLACE,290,95,175, 
LOS ANGELES,9001387A,1384,278,N, ,VBM PORTION,1244,434,763, 
LOS ANGELES,9001387A,1384,278,N,3074,TOTAL,1534,529,938, 
LOS ANGELES,9001419A,1387,296,N, ,POLLING PLACE,239,81,141, 
LOS ANGELES,9001419A,1387,296,N, ,VBM PORTION,967,373,544, 
LOS ANGELES,9001419A,1387,296,N,2990,TOTAL,1206,454,685, 
LOS ANGELES,9001428A,1391,198,N, ,POLLING PLACE,291,135,108, 
LOS ANGELES,9001428A,1391,198,N, ,VBM PORTION,1490,732,598, 
LOS ANGELES,9001428A,1391,198,N,3020,TOTAL,1781,867,706, 
LOS ANGELES,9001488B,1408,277,N, ,POLLING PLACE,177,60,108, 
LOS ANGELES,9001488B,1408,277,N, ,VBM PORTION,672,253,381, 
LOS ANGELES,9001488B,1408,277,N,1843,TOTAL,849,313,489, 
LOS ANGELES,9001575A,1427,198,N, ,POLLING PLACE,295,101,148, 
LOS ANGELES,9001575A,1427,198,N, ,VBM PORTION,1086,389,562, 
LOS ANGELES,9001575A,1427,198,N,2583,TOTAL,1381,490,710, 
LOS ANGELES,9001576A,1428,198,N, ,POLLING PLACE,256,81,147, 
LOS ANGELES,9001576A,1428,198,N, ,VBM PORTION,730,290,364, 
LOS ANGELES,9001576A,1428,198,N,2735,TOTAL,986,371,511, 
LOS ANGELES,9001620A,7664,295,N, ,POLLING PLACE,140,61,60, 
LOS ANGELES,9001620A,7664,295,N, ,VBM PORTION,602,273,275, 
LOS ANGELES,9001620A,7664,295,N,1511,TOTAL,742,334,335, 
LOS ANGELES,9001621A,1434,273,N, ,POLLING PLACE,310,175,109, 
LOS ANGELES,9001621A,1434,273,N, ,VBM PORTION,2122,1249,680, 
LOS ANGELES,9001621A,1434,273,N,3522,TOTAL,2432,1424,789, 
LOS ANGELES,9001628A,1436,295,N, ,POLLING PLACE,208,66,122, 
LOS ANGELES,9001628A,1436,295,N, ,VBM PORTION,939,363,458, 
LOS ANGELES,9001628A,1436,295,N,2860,TOTAL,1147,429,580, 
LOS ANGELES,9001735A,1454,277,N, ,POLLING PLACE,280,122,145, 
LOS ANGELES,9001735A,1454,277,N, ,VBM PORTION,1713,666,942, 
LOS ANGELES,9001735A,1454,277,N,2900,TOTAL,1993,788,1087, 
LOS ANGELES,9001737A,7673,269,N, ,POLLING PLACE,86,27,54, 
LOS ANGELES,9001737A,7673,269,N, ,VBM PORTION,354,109,215, 
LOS ANGELES,9001737A,7673,269,N,1145,TOTAL,440,136,269, 
LOS ANGELES,9001804C,1472,283,N, ,POLLING PLACE,224,74,126, 
LOS ANGELES,9001804C,1472,283,N, ,VBM PORTION,590,225,311, 
LOS ANGELES,9001804C,1472,283,N,2234,TOTAL,814,299,437, 
LOS ANGELES,9001820D,7675,296,N, ,POLLING PLACE,20,1,17, 
LOS ANGELES,9001820D,7675,296,N, ,VBM PORTION,73,25,44, 
LOS ANGELES,9001820D,7675,296,N,221,TOTAL,93,26,61, 
LOS ANGELES,9001844A,7677,198,N, ,POLLING PLACE,67,20,44, 
LOS ANGELES,9001844A,7677,198,N, ,VBM PORTION,261,72,164, 
LOS ANGELES,9001844A,7677,198,N,845,TOTAL,328,92,208, 
LOS ANGELES,9002631A,1625,283,N, ,POLLING PLACE,167,52,109, 
LOS ANGELES,9002631A,1625,283,N, ,VBM PORTION,579,224,313, 
LOS ANGELES,9002631A,1625,283,N,2091,TOTAL,746,276,422, 
LOS ANGELES,9002786A,7734,198,N, ,POLLING PLACE,57,26,27, 
LOS ANGELES,9002786A,7734,198,N, ,VBM PORTION,300,169,97, 
LOS ANGELES,9002786A,7734,198,N,592,TOTAL,357,195,124, 
LOS ANGELES,9002876A,7743,271,N, ,POLLING PLACE,44,13,29, 
LOS ANGELES,9002876A,7743,271,N, ,VBM PORTION,95,38,53, 
LOS ANGELES,9002876A,7743,271,N,416,TOTAL,139,51,82, 
LOS ANGELES,9003155A,7752,270,N, ,POLLING PLACE,1,0,1, 
LOS ANGELES,9003155A,7752,270,N, ,VBM PORTION,2,0,2, 
LOS ANGELES,9003155A,7752,270,N,6,TOTAL,3,0,3, 
LOS ANGELES,9003168A,1668,288,N, ,POLLING PLACE,221,102,93, 
LOS ANGELES,9003168A,1668,288,N, ,VBM PORTION,1099,483,520, 
LOS ANGELES,9003168A,1668,288,N,2364,TOTAL,1320,585,613, 
LOS ANGELES,9003180A,7757,198,N, ,POLLING PLACE,15,4,8, 
LOS ANGELES,9003180A,7757,198,N, ,VBM PORTION,47,14,20, 
LOS ANGELES,9003180A,7757,198,N,131,TOTAL,62,18,28, 
LOS ANGELES,9003192A,7758,295,N, ,POLLING PLACE,34,12,16, 
LOS ANGELES,9003192A,7758,295,N, ,VBM PORTION,175,76,76, 
LOS ANGELES,9003192A,7758,295,N,396,TOTAL,209,88,92, 
LOS ANGELES,9003262A,7766,288,N, ,POLLING PLACE,18,3,12, 
LOS ANGELES,9003262A,7766,288,N, ,VBM PORTION,55,17,35, 
LOS ANGELES,9003262A,7766,288,N,117,TOTAL,73,20,47, 
LOS ANGELES,9003299A,7775,269,N, ,POLLING PLACE,191,76,87, 
LOS ANGELES,9003299A,7775,269,N, ,VBM PORTION,845,335,419, 
LOS ANGELES,9003299A,7775,269,N,1683,TOTAL,1036,411,506, 
LOS ANGELES,9003520B,1676,278,N, ,POLLING PLACE,177,46,117, 
LOS ANGELES,9003520B,1676,278,N, ,VBM PORTION,871,308,509, 
LOS ANGELES,9003520B,1676,278,N,2231,TOTAL,1048,354,626, 
LOS ANGELES,9003705A,7804,198,N, ,POLLING PLACE,66,24,32, 
LOS ANGELES,9003705A,7804,198,N, ,VBM PORTION,261,126,103, 
LOS ANGELES,9003705A,7804,198,N,872,TOTAL,327,150,135, 
LOS ANGELES,9003814A,7806,278,N, ,POLLING PLACE,14,3,7, 
LOS ANGELES,9003814A,7806,278,N, ,VBM PORTION,92,22,61, 
LOS ANGELES,9003814A,7806,278,N,183,TOTAL,106,25,68, 
LOS ANGELES,9003988A,1685,278,N, ,POLLING PLACE,322,72,234, 
LOS ANGELES,9003988A,1685,278,N, ,VBM PORTION,1332,399,876, 
LOS ANGELES,9003988A,1685,278,N,2982,TOTAL,1654,471,1110, 
LOS ANGELES,9004216A,1693,198,N, ,POLLING PLACE,326,113,165, 
LOS ANGELES,9004216A,1693,198,N, ,VBM PORTION,1091,451,503, 
LOS ANGELES,9004216A,1693,198,N,3510,TOTAL,1417,564,668, 
LOS ANGELES,9004230A,1695,269,N, ,POLLING PLACE,284,132,117, 
LOS ANGELES,9004230A,1695,269,N, ,VBM PORTION,1720,773,793, 
LOS ANGELES,9004230A,1695,269,N,3134,TOTAL,2004,905,910, 
LOS ANGELES,9005541A,1722,278,N, ,POLLING PLACE,358,107,226, 
LOS ANGELES,9005541A,1722,278,N, ,VBM PORTION,1409,429,928, 
LOS ANGELES,9005541A,1722,278,N,3116,TOTAL,1767,536,1154, 
LOS ANGELES,9005778A,7837,269,N, ,POLLING PLACE,138,39,87, 
LOS ANGELES,9005778A,7837,269,N, ,VBM PORTION,758,305,374, 
LOS ANGELES,9005778A,7837,269,N,1931,TOTAL,896,344,461, 
LOS ANGELES,9006302A,1753,277,N, ,POLLING PLACE,244,70,157, 
LOS ANGELES,9006302A,1753,277,N, ,VBM PORTION,1406,467,877, 
LOS ANGELES,9006302A,1753,277,N,2872,TOTAL,1650,537,1034, 
LOS ANGELES,9006305A,1754,277,N, ,POLLING PLACE,302,121,158, 
LOS ANGELES,9006305A,1754,277,N, ,VBM PORTION,1331,541,720, 
LOS ANGELES,9006305A,1754,277,N,2707,TOTAL,1633,662,878, 