COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9361,1,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,FIDENCIO GALLARDO,V R GUTIERREZ,KARLA GRIEGO,GRACIELA ORTIZ,
BELL,0700001A,71,270,N, ,POLLING PLACE,174,35,15,30,58, 
BELL,0700001A,71,270,N, ,VBM PORTION,275,71,20,69,92, 
BELL,0700001A,71,270,N,2298,TOTAL,449,106,35,99,150, 
BELL,0700007B,72,270,N, ,POLLING PLACE,204,48,27,37,60, 
BELL,0700007B,72,270,N, ,VBM PORTION,403,89,55,75,148, 
BELL,0700007B,72,270,N,3293,TOTAL,607,137,82,112,208, 
BELL,0700010A,73,270,N, ,POLLING PLACE,273,103,21,15,57, 
BELL,0700010A,73,270,N, ,VBM PORTION,364,112,32,88,111, 
BELL,0700010A,73,270,N,2620,TOTAL,637,215,53,103,168, 
BELL,0700011B,74,270,N, ,POLLING PLACE,130,25,22,25,34, 
BELL,0700011B,74,270,N, ,VBM PORTION,284,96,22,63,90, 
BELL,0700011B,74,270,N,2132,TOTAL,414,121,44,88,124, 
BELL,0700012A,75,270,N, ,POLLING PLACE,288,100,24,23,71, 
BELL,0700012A,75,270,N, ,VBM PORTION,352,101,16,79,134, 
BELL,0700012A,75,270,N,2521,TOTAL,640,201,40,102,205, 
BELL,0700018A,76,270,N, ,POLLING PLACE,107,26,13,30,34, 
BELL,0700018A,76,270,N, ,VBM PORTION,232,56,21,51,93, 
BELL,0700018A,76,270,N,1876,TOTAL,339,82,34,81,127, 
BELL GARDENS,0800017B,6058,272,Y, ,POLLING PLACE,8,0,0,1,5, 
BELL GARDENS,0800017B,6058,272,Y, ,VBM PORTION,20,1,5,3,8, 
BELL GARDENS,0800017B,6058,272,Y,157,TOTAL,28,1,5,4,13, 
CUDAHY,1550001A,216,272,N, ,POLLING PLACE,110,15,22,29,36, 
CUDAHY,1550001A,216,272,N, ,VBM PORTION,316,61,37,63,140, 
CUDAHY,1550001A,216,272,N,3029,TOTAL,426,76,59,92,176, 
CUDAHY,1550005A,217,272,N, ,POLLING PLACE,130,17,23,27,52, 
CUDAHY,1550005A,217,272,N, ,VBM PORTION,321,55,28,101,126, 
CUDAHY,1550005A,217,272,N,3376,TOTAL,451,72,51,128,178, 
CUDAHY,1550006A,218,272,N, ,POLLING PLACE,86,16,6,27,32, 
CUDAHY,1550006A,218,272,N, ,VBM PORTION,235,42,19,52,110, 
CUDAHY,1550006A,218,272,N,2674,TOTAL,321,58,25,79,142, 
FLORENCE,2300007A,6175,224,Y, ,POLLING PLACE,20,2,1,5,10, 
FLORENCE,2300007A,6175,224,Y, ,VBM PORTION,30,3,6,8,13, 
FLORENCE,2300007A,6175,224,Y,636,TOTAL,50,5,7,13,23, 
FLORENCE,2300046A,315,224,N, ,POLLING PLACE,57,5,10,11,26, 
FLORENCE,2300046A,315,224,N, ,VBM PORTION,188,27,23,37,87, 
FLORENCE,2300046A,315,224,N,2312,TOTAL,245,32,33,48,113, 
FLORENCE,2300202A,6178,224,Y, ,POLLING PLACE,1,0,1,0,0, 
FLORENCE,2300202A,6178,224,Y, ,VBM PORTION,3,1,0,1,1, 
FLORENCE,2300202A,6178,224,Y,32,TOTAL,4,1,1,1,1, 
HUNTINGTON PARK,2850006A,399,256,N, ,POLLING PLACE,115,8,5,30,65, 
HUNTINGTON PARK,2850006A,399,256,N, ,VBM PORTION,286,36,24,54,152, 
HUNTINGTON PARK,2850006A,399,256,N,2175,TOTAL,401,44,29,84,217, 
HUNTINGTON PARK,2850008A,400,256,N, ,POLLING PLACE,120,11,14,39,47, 
HUNTINGTON PARK,2850008A,400,256,N, ,VBM PORTION,388,38,32,92,194, 
HUNTINGTON PARK,2850008A,400,256,N,3400,TOTAL,508,49,46,131,241, 
HUNTINGTON PARK,2850011A,401,256,N, ,POLLING PLACE,119,16,12,26,49, 
HUNTINGTON PARK,2850011A,401,256,N, ,VBM PORTION,355,46,35,49,200, 
HUNTINGTON PARK,2850011A,401,256,N,2569,TOTAL,474,62,47,75,249, 
HUNTINGTON PARK,2850014A,402,256,N, ,POLLING PLACE,187,23,39,37,78, 
HUNTINGTON PARK,2850014A,402,256,N, ,VBM PORTION,443,71,45,82,213, 
HUNTINGTON PARK,2850014A,402,256,N,3098,TOTAL,630,94,84,119,291, 
HUNTINGTON PARK,2850015B,403,256,N, ,POLLING PLACE,84,12,17,14,31, 
HUNTINGTON PARK,2850015B,403,256,N, ,VBM PORTION,324,35,21,75,175, 
HUNTINGTON PARK,2850015B,403,256,N,2247,TOTAL,408,47,38,89,206, 
HUNTINGTON PARK,2850017A,404,256,N, ,POLLING PLACE,125,22,24,24,50, 
HUNTINGTON PARK,2850017A,404,256,N, ,VBM PORTION,397,46,46,76,205, 
HUNTINGTON PARK,2850017A,404,256,N,3350,TOTAL,522,68,70,100,255, 
HUNTINGTON PARK,2850022A,405,256,N, ,POLLING PLACE,138,21,12,31,59, 
HUNTINGTON PARK,2850022A,405,256,N, ,VBM PORTION,369,57,32,106,148, 
HUNTINGTON PARK,2850022A,405,256,N,2450,TOTAL,507,78,44,137,207, 
HUNTINGTON PARK,2850029A,406,256,N, ,POLLING PLACE,86,9,10,21,39, 
HUNTINGTON PARK,2850029A,406,256,N, ,VBM PORTION,350,48,43,90,154, 
HUNTINGTON PARK,2850029A,406,256,N,2776,TOTAL,436,57,53,111,193, 
MAYWOOD,4200001A,631,260,N, ,POLLING PLACE,66,6,10,18,26, 
MAYWOOD,4200001A,631,260,N, ,VBM PORTION,233,28,27,74,94, 
MAYWOOD,4200001A,631,260,N,2144,TOTAL,299,34,37,92,120, 
MAYWOOD,4200008A,632,260,N, ,POLLING PLACE,110,22,14,30,36, 
MAYWOOD,4200008A,632,260,N, ,VBM PORTION,352,70,26,76,165, 
MAYWOOD,4200008A,632,260,N,2969,TOTAL,462,92,40,106,201, 
MAYWOOD,4200011A,633,260,N, ,POLLING PLACE,87,13,15,22,30, 
MAYWOOD,4200011A,633,260,N, ,VBM PORTION,282,68,19,58,123, 
MAYWOOD,4200011A,633,260,N,2490,TOTAL,369,81,34,80,153, 
MAYWOOD,4200012A,634,260,N, ,POLLING PLACE,101,24,17,22,33, 
MAYWOOD,4200012A,634,260,N, ,VBM PORTION,319,53,22,81,146, 
MAYWOOD,4200012A,634,260,N,3042,TOTAL,420,77,39,103,179, 
SOUTH GATE,6550003A,890,264,N, ,POLLING PLACE,74,11,14,11,31, 
SOUTH GATE,6550003A,890,264,N, ,VBM PORTION,223,20,42,48,102, 
SOUTH GATE,6550003A,890,264,N,2625,TOTAL,297,31,56,59,133, 
SOUTH GATE,6550010A,891,264,N, ,POLLING PLACE,88,5,21,20,35, 
SOUTH GATE,6550010A,891,264,N, ,VBM PORTION,252,48,23,44,124, 
SOUTH GATE,6550010A,891,264,N,2148,TOTAL,340,53,44,64,159, 
SOUTH GATE,6550011B,892,264,N, ,POLLING PLACE,58,8,9,15,17, 
SOUTH GATE,6550011B,892,264,N, ,VBM PORTION,185,33,31,31,79, 
SOUTH GATE,6550011B,892,264,N,1866,TOTAL,243,41,40,46,96, 
SOUTH GATE,6550012C,893,264,N, ,POLLING PLACE,96,25,20,15,27, 
SOUTH GATE,6550012C,893,264,N, ,VBM PORTION,253,30,30,75,102, 
SOUTH GATE,6550012C,893,264,N,1879,TOTAL,349,55,50,90,129, 
SOUTH GATE,6550016A,894,264,N, ,POLLING PLACE,124,27,16,24,38, 
SOUTH GATE,6550016A,894,264,N, ,VBM PORTION,381,65,55,102,128, 
SOUTH GATE,6550016A,894,264,N,3190,TOTAL,505,92,71,126,166, 
SOUTH GATE,6550018E,895,264,N, ,POLLING PLACE,102,18,16,24,29, 
SOUTH GATE,6550018E,895,264,N, ,VBM PORTION,358,72,29,84,149, 
SOUTH GATE,6550018E,895,264,N,3005,TOTAL,460,90,45,108,178, 
SOUTH GATE,6550019B,896,264,N, ,POLLING PLACE,90,14,18,18,26, 
SOUTH GATE,6550019B,896,264,N, ,VBM PORTION,249,47,25,45,100, 
SOUTH GATE,6550019B,896,264,N,2209,TOTAL,339,61,43,63,126, 
SOUTH GATE,6550021B,897,264,N, ,POLLING PLACE,98,10,19,25,38, 
SOUTH GATE,6550021B,897,264,N, ,VBM PORTION,206,34,35,29,99, 
SOUTH GATE,6550021B,897,264,N,2304,TOTAL,304,44,54,54,137, 
SOUTH GATE,6550026A,898,264,N, ,POLLING PLACE,83,15,13,14,32, 
SOUTH GATE,6550026A,898,264,N, ,VBM PORTION,330,60,49,82,121, 
SOUTH GATE,6550026A,898,264,N,3141,TOTAL,413,75,62,96,153, 
SOUTH GATE,6550028A,899,264,N, ,POLLING PLACE,107,15,23,20,33, 
SOUTH GATE,6550028A,899,264,N, ,VBM PORTION,301,59,45,68,110, 
SOUTH GATE,6550028A,899,264,N,2408,TOTAL,408,74,68,88,143, 
SOUTH GATE,6550029A,900,264,N, ,POLLING PLACE,59,11,14,5,23, 
SOUTH GATE,6550029A,900,264,N, ,VBM PORTION,174,35,21,31,72, 
SOUTH GATE,6550029A,900,264,N,1790,TOTAL,233,46,35,36,95, 
SOUTH GATE,6550032A,901,264,N, ,POLLING PLACE,96,25,19,14,25, 
SOUTH GATE,6550032A,901,264,N, ,VBM PORTION,341,49,48,87,116, 
SOUTH GATE,6550032A,901,264,N,2356,TOTAL,437,74,67,101,141, 
SOUTH GATE,6550033A,902,264,N, ,POLLING PLACE,69,8,11,16,21, 
SOUTH GATE,6550033A,902,264,N, ,VBM PORTION,320,48,39,70,135, 
SOUTH GATE,6550033A,902,264,N,2617,TOTAL,389,56,50,86,156, 
SOUTH GATE,6550035A,903,264,N, ,POLLING PLACE,89,23,11,23,29, 
SOUTH GATE,6550035A,903,264,N, ,VBM PORTION,302,64,30,63,131, 
SOUTH GATE,6550035A,903,264,N,3213,TOTAL,391,87,41,86,160, 
SOUTH GATE,6550050A,904,264,N, ,POLLING PLACE,86,18,12,18,26, 
SOUTH GATE,6550050A,904,264,N, ,VBM PORTION,393,89,48,79,140, 
SOUTH GATE,6550050A,904,264,N,2751,TOTAL,479,107,60,97,166, 
SOUTH GATE,6550052B,905,264,N, ,POLLING PLACE,85,13,20,15,22, 
SOUTH GATE,6550052B,905,264,N, ,VBM PORTION,336,63,45,88,114, 
SOUTH GATE,6550052B,905,264,N,2209,TOTAL,421,76,65,103,136, 
VERNON,7450005A,6468,199,Y, ,POLLING PLACE,6,1,0,3,2, 
VERNON,7450005A,6468,199,Y, ,VBM PORTION,27,1,5,5,14, 
VERNON,7450005A,6468,199,Y,110,TOTAL,33,2,5,8,16, 
WALNUT PARK,7650001A,974,260,N, ,POLLING PLACE,133,24,11,29,57, 
WALNUT PARK,7650001A,974,260,N, ,VBM PORTION,275,36,36,42,133, 
WALNUT PARK,7650001A,974,260,N,2409,TOTAL,408,60,47,71,190, 
WALNUT PARK,7650002A,6474,224,Y, ,POLLING PLACE,18,1,3,6,7, 
WALNUT PARK,7650002A,6474,224,Y, ,VBM PORTION,37,6,3,9,18, 
WALNUT PARK,7650002A,6474,224,Y,403,TOTAL,55,7,6,15,25, 
WALNUT PARK,7650004B,975,260,N, ,POLLING PLACE,116,11,22,28,46, 
WALNUT PARK,7650004B,975,260,N, ,VBM PORTION,285,39,20,54,146, 
WALNUT PARK,7650004B,975,260,N,2660,TOTAL,401,50,42,82,192, 
WALNUT PARK,7650009A,976,260,N, ,POLLING PLACE,87,6,12,18,43, 
WALNUT PARK,7650009A,976,260,N, ,VBM PORTION,341,53,31,71,166, 
WALNUT PARK,7650009A,976,260,N,2515,TOTAL,428,59,43,89,209, 
LOS ANGELES,9000001A,6494,171,Y, ,POLLING PLACE,152,57,7,40,18, 
LOS ANGELES,9000001A,6494,171,Y, ,VBM PORTION,1098,489,52,266,153, 
LOS ANGELES,9000001A,6494,171,Y,2054,TOTAL,1250,546,59,306,171, 
LOS ANGELES,9000048A,1054,149,N, ,POLLING PLACE,100,16,20,32,19, 
LOS ANGELES,9000048A,1054,149,N, ,VBM PORTION,319,62,22,134,76, 
LOS ANGELES,9000048A,1054,149,N,1967,TOTAL,419,78,42,166,95, 
LOS ANGELES,9000263A,1095,145,N, ,POLLING PLACE,214,56,22,45,34, 
LOS ANGELES,9000263A,1095,145,N, ,VBM PORTION,1277,405,88,326,203, 
LOS ANGELES,9000263A,1095,145,N,3212,TOTAL,1491,461,110,371,237, 
LOS ANGELES,9000317A,1109,145,N, ,POLLING PLACE,237,59,25,75,37, 
LOS ANGELES,9000317A,1109,145,N, ,VBM PORTION,1032,270,33,382,173, 
LOS ANGELES,9000317A,1109,145,N,3409,TOTAL,1269,329,58,457,210, 
LOS ANGELES,9000357A,1120,174,N, ,POLLING PLACE,254,44,39,86,44, 
LOS ANGELES,9000357A,1120,174,N, ,VBM PORTION,1112,246,59,446,195, 
LOS ANGELES,9000357A,1120,174,N,3173,TOTAL,1366,290,98,532,239, 
LOS ANGELES,9000369A,1122,171,N, ,POLLING PLACE,219,52,29,71,34, 
LOS ANGELES,9000369A,1122,171,N, ,VBM PORTION,1108,304,60,423,181, 
LOS ANGELES,9000369A,1122,171,N,3728,TOTAL,1327,356,89,494,215, 
LOS ANGELES,9000426A,1136,149,N, ,POLLING PLACE,187,29,15,61,41, 
LOS ANGELES,9000426A,1136,149,N, ,VBM PORTION,781,155,53,277,166, 
LOS ANGELES,9000426A,1136,149,N,4590,TOTAL,968,184,68,338,207, 
LOS ANGELES,9000454A,1142,235,N, ,POLLING PLACE,105,15,7,32,34, 
LOS ANGELES,9000454A,1142,235,N, ,VBM PORTION,250,47,14,84,70, 
LOS ANGELES,9000454A,1142,235,N,2132,TOTAL,355,62,21,116,104, 
LOS ANGELES,9000495A,6522,149,Y, ,POLLING PLACE,70,4,10,40,11, 
LOS ANGELES,9000495A,6522,149,Y, ,VBM PORTION,237,27,19,89,56, 
LOS ANGELES,9000495A,6522,149,Y,1313,TOTAL,307,31,29,129,67, 
LOS ANGELES,9000530A,1156,149,N, ,POLLING PLACE,187,30,13,74,30, 
LOS ANGELES,9000530A,1156,149,N, ,VBM PORTION,862,140,55,343,166, 
LOS ANGELES,9000530A,1156,149,N,4098,TOTAL,1049,170,68,417,196, 
LOS ANGELES,9000589A,1165,174,N, ,POLLING PLACE,187,36,29,52,36, 
LOS ANGELES,9000589A,1165,174,N, ,VBM PORTION,843,217,62,338,125, 
LOS ANGELES,9000589A,1165,174,N,2563,TOTAL,1030,253,91,390,161, 
LOS ANGELES,9000601C,1167,149,N, ,POLLING PLACE,175,25,27,61,38, 
LOS ANGELES,9000601C,1167,149,N, ,VBM PORTION,562,89,50,215,140, 
LOS ANGELES,9000601C,1167,149,N,3722,TOTAL,737,114,77,276,178, 
LOS ANGELES,9000623A,1171,235,N, ,POLLING PLACE,112,9,19,33,37, 
LOS ANGELES,9000623A,1171,235,N, ,VBM PORTION,243,44,25,80,73, 
LOS ANGELES,9000623A,1171,235,N,2821,TOTAL,355,53,44,113,110, 
LOS ANGELES,9000642C,1177,149,N, ,POLLING PLACE,120,21,17,37,28, 
LOS ANGELES,9000642C,1177,149,N, ,VBM PORTION,628,119,73,181,125, 
LOS ANGELES,9000642C,1177,149,N,3192,TOTAL,748,140,90,218,153, 
LOS ANGELES,9000682A,1182,149,N, ,POLLING PLACE,98,14,16,36,20, 
LOS ANGELES,9000682A,1182,149,N, ,VBM PORTION,415,55,41,152,103, 
LOS ANGELES,9000682A,1182,149,N,2749,TOTAL,513,69,57,188,123, 
LOS ANGELES,9000700B,6532,167,Y, ,POLLING PLACE,20,2,5,4,4, 
LOS ANGELES,9000700B,6532,167,Y, ,VBM PORTION,105,37,4,15,11, 
LOS ANGELES,9000700B,6532,167,Y,241,TOTAL,125,39,9,19,15, 
LOS ANGELES,9000720C,6535,235,Y, ,POLLING PLACE,12,0,1,5,3, 
LOS ANGELES,9000720C,6535,235,Y, ,VBM PORTION,35,8,5,9,9, 
LOS ANGELES,9000720C,6535,235,Y,393,TOTAL,47,8,6,14,12, 
LOS ANGELES,9000724A,1187,149,N, ,POLLING PLACE,108,13,15,39,21, 
LOS ANGELES,9000724A,1187,149,N, ,VBM PORTION,703,113,74,276,129, 
LOS ANGELES,9000724A,1187,149,N,3615,TOTAL,811,126,89,315,150, 
LOS ANGELES,9000731A,1189,197,N, ,POLLING PLACE,99,10,7,36,28, 
LOS ANGELES,9000731A,1189,197,N, ,VBM PORTION,398,50,29,169,102, 
LOS ANGELES,9000731A,1189,197,N,2216,TOTAL,497,60,36,205,130, 
LOS ANGELES,9000748A,1195,235,N, ,POLLING PLACE,71,11,7,14,22, 
LOS ANGELES,9000748A,1195,235,N, ,VBM PORTION,267,32,26,67,116, 
LOS ANGELES,9000748A,1195,235,N,2893,TOTAL,338,43,33,81,138, 
LOS ANGELES,9000763A,1196,197,N, ,POLLING PLACE,62,7,7,24,17, 
LOS ANGELES,9000763A,1196,197,N, ,VBM PORTION,207,23,16,64,85, 
LOS ANGELES,9000763A,1196,197,N,1911,TOTAL,269,30,23,88,102, 
LOS ANGELES,9000766A,1197,174,N, ,POLLING PLACE,160,35,25,51,25, 
LOS ANGELES,9000766A,1197,174,N, ,VBM PORTION,883,216,61,348,120, 
LOS ANGELES,9000766A,1197,174,N,2515,TOTAL,1043,251,86,399,145, 
LOS ANGELES,9000770A,1198,176,N, ,POLLING PLACE,97,15,15,29,22, 
LOS ANGELES,9000770A,1198,176,N, ,VBM PORTION,541,90,34,216,126, 
